scenario,building,point,label,floor,z_m,PF,PF_raw,LF,ground_frac,roof_frac,avg_floor_crossings,avg_soil_path_m,floor_decks_above,Dg_in,Dr_in,Dg_ref,Dr_ref,Din,Dref,basement_opening_mode,basement_ceiling_mode,roof_model,ground_radius_m,M_floor_kg_m2,M_roof_kg_m2,M_wall_kg_m2,M_foundation_wall_kg_m2,M_basement_ceiling_kg_m2
Kjellervindu 40x60 cm | Saltak 35°,Murbygg | full utskifting + mineralull,5 målepunkter,5. etasje,4,13.5,2.425543639056879,2.425543639056879,0.41227870894494756,0.019414800964491614,0.9805851990355084,2.092333162241398,0.0,0,0.061587888911456876,3.110625363446734,3.3529218731732007,4.3414198028161435,3.1722132523581905,7.694341675989344,exposed_above_grade,same_as_floor,sloped,60.0,62.0,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm | Saltak 35°,Murbygg | referanse lett,5 målepunkter,Kjeller,-1,-1.1,7.569346479058746,7.569346479058746,0.13211180156260344,0.16852863610763905,0.8314713638923609,0.0,11.921624055050621,5,0.03842565013392303,0.1895810021561994,0.5507251446215115,1.1751362060926986,0.22800665229012246,1.7258613507142102,exposed_above_grade,same_as_floor,sloped,60.0,40.375,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm | Saltak 35°,Murbygg | referanse lett,5 målepunkter,1. etasje,0,1.5,4.407332896816743,4.407332896816743,0.2268945921290093,0.39044004145575134,0.6095599585442486,0.0,0.0,4,0.191316086476387,0.2986851074663938,0.7436205829470717,1.4159777985964275,0.49000119394278085,2.159598381543499,exposed_above_grade,same_as_floor,sloped,60.0,40.375,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm | Saltak 35°,Murbygg | referanse lett,5 målepunkter,2. etasje,1,4.5,5.262422046366346,5.262422046366346,0.19002656784065633,0.30346450316546597,0.696535496834534,0.7389451382382641,0.0,3,0.21570326258020067,0.49509902345385015,1.9451084870412334,1.7954331335919531,0.7108022860340508,3.7405416206331865,exposed_above_grade,same_as_floor,sloped,60.0,40.375,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm | Saltak 35°,Murbygg | referanse lett,5 målepunkter,3. etasje,2,7.5,4.878521196050734,4.878521196050734,0.20498014865847486,0.1746049774200014,0.8253950225799986,1.252122933293688,0.0,2,0.18036418248566877,0.8526200150484826,2.696155236194249,2.3432800666615674,1.0329841975341514,5.039435302855816,exposed_above_grade,same_as_floor,sloped,60.0,40.375,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm | Saltak 35°,Murbygg | referanse lett,5 målepunkter,4. etasje,3,10.5,3.740342661191082,3.740342661191082,0.2673551838915096,0.07899218718715084,0.9210078128128493,1.6950226097836676,0.0,1,0.13268317822691122,1.5470168396059152,3.125342298506251,3.15731133619729,1.6797000178328263,6.282653634703541,exposed_above_grade,same_as_floor,sloped,60.0,40.375,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm | Saltak 35°,Murbygg | referanse lett,5 målepunkter,5. etasje,4,13.5,2.3941908064218413,2.3941908064218413,0.41767765431131904,0.032089948562211,0.967910051437789,2.092333162241398,0.0,0,0.10312921925031829,3.110625363446734,3.3529218731732007,4.3414198028161435,3.213754582697052,7.694341675989344,exposed_above_grade,same_as_floor,sloped,60.0,40.375,35.0,450.0,650.0,300.0
Kjellervindu 40x60 cm | Saltak 35°,Trebygg | stubbloft bevart,5 målepunkter,Kjeller,-1,-1.1,40.496997123045794,40.496997123045794,0.024693188903898405,0.9046078796506795,0.09539212034932061,0.0,11.921624055050621,5,0.03855169242047789,0.004065327934645363,0.5507251446215115,1.1751362060926986,0.04261702035512325,1.7258613507142102,exposed_above_grade,same_as_floor,sloped,60.0,145.0,35.0,80.0,350.0,300.0
Kjellervindu 40x60 cm | Saltak 35°,Trebygg | stubbloft bevart,5 målepunkter,1. etasje,0,1.5,4.678174305700384,4.678174305700384,0.21375860210712838,0.9719309785487283,0.0280690214512717,0.0,0.0,4,0.4486751521182531,0.012957579033302146,0.7436205829470717,1.4159777985964275,0.46163273115155523,2.159598381543499,exposed_above_grade,same_as_floor,sloped,60.0,145.0,35.0,80.0,350.0,300.0
Kjellervindu 40x60 cm | Saltak 35°,Trebygg | stubbloft bevart,5 målepunkter,2. etasje,1,4.5,9.92470163103907,9.92470163103907,0.10075869655089113,0.8849573036204693,0.11504269637953068,0.7389451382382641,0.0,3,0.3335334148810195,0.043358683208338286,1.9451084870412334,1.7954331335919531,0.3768920980893578,3.7405416206331865,exposed_above_grade,same_as_floor,sloped,60.0,145.0,35.0,80.0,350.0,300.0
Kjellervindu 40x60 cm | Saltak 35°,Trebygg | stubbloft bevart,5 målepunkter,3. etasje,2,7.5,13.264833888632875,13.264833888632875,0.07538729910948504,0.5982768081831655,0.4017231918168346,1.252122933293688,0.0,2,0.2272909931138894,0.1526184234054003,2.696155236194249,2.3432800666615674,0.37990941651928967,5.039435302855816,exposed_above_grade,same_as_floor,sloped,60.0,145.0,35.0,80.0,350.0,300.0
Kjellervindu 40x60 cm | Saltak 35°,Trebygg | stubbloft bevart,5 målepunkter,4. etasje,3,10.5,8.54820398913194,8.54820398913194,0.11698363788128889,0.19879618529809173,0.8012038147019083,1.6950226097836676,0.0,1,0.14610877065125885,0.5888589070844636,3.125342298506251,3.15731133619729,0.7349676777357225,6.282653634703541,exposed_above_grade,same_as_floor,sloped,60.0,145.0,35.0,80.0,350.0,300.0
